# --- CLASS PRESSURES (DATI) ---
class,Pa,Pe,P_psig,P_kgmm2
150,2.001,1.034212,285,0.20
300,5.17,2.068432,740,0.52
400,6.896,2.758998,990,0.70
600,10.21,4.137000,1480,1.05
900,15.30,6.205500,2220,1.56
1500,25.869,10.342117,3710,2.60
2500,43.115,17.206321,6170,4.34
4500,77.607,31.026350,11110,7.81

# --- BOLT THREAD AREAS (DATI) ---
bolt_thread,area_mm2
M5 x 0.8,14.2
M6 x 1,20.1
M8 x 1.25,36
M10 x 1.5,58
M12 x 1.75,84
M14 x 2,115
M16 x 2,157
M18 x 2.5,192
M20 x 2.5,245
M22 x 2.5,303
M24 x 3,353
M27 x 3,496
M30 x 3.5,561
M33 x 3.5,661
M36 x 4,817
M39 x 4,965
M42 x 4.5,1120
M45 x 4.5,1310
M48 x 5,1470
M52 x 5,1760
M56 x 5.5,2030
M60 x 5.5,2360
M64 x 6,2680
1/4\" UNC,20.5
5/16\" UNC,33.8
3/8\" UNC,49.9
7/16\" UNC,68.6
1/2\" UNC,90.5
9/16\" UNC,117.4
5/8\" UNC,145.8
3/4\" UNC,215.5
7/8\" UNC,292.0
1\" UNC,391.0
