id,material,standard,yield_mpa
1,A182 F316,ASTM A182 F316,207
2,A182 F44,ASTM A182 F44,300
3,A350 LF3 BON,ASTM A350 LF3 BON,350
4,A182 F6a cl.2,ASTM A182 F6a cl.2,380
5,A479 XM19 (Nitronic 50),ASTM A479 XM19 (Nitronic 50),380
6,Inconel 625,ASTM B564 UNS N06625,414
7,Monel K500,Monel K500 Max,414
8,A694 F60,ASTM A694 F60,414
9,A182 F51,ASTM A182 F51,448.5
10,A182 F53/55,ASTM A182 F53/55,550
11,A182 F6NM,ASTM A182 F6NM,621
12,17.04 PH,ASTM A564 Gr.630 H1150+1150,725
13,Inconel X 750,ASTM B637 N07750 Type2 (X 750),790
14,Ti Gr.5,ASTM B381 Gr. F-5,828
15,Inconel 718,ASTM B637 N07718 (Inconel 718),1034
16,A182 F304,ASTM A182 F304,207
17,A182 F304L,ASTM A182 F304L,172
18,A182 F316L,ASTM A182 F316L,172
19,A350 LF1,ASTM A350 LF1,207
20,A182 F304LN,ASTM A182 F304LN,207
21,A182 F316LN,ASTM A182 F316LN,207
22,A105N,ASTM A105N,248
23,A350 LF2 CL.1,ASTM A350 LF2 CL.1,248
